date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:48	2636/2636	---M--	404	error ('Not%20Found')	text/html	etag:1540654667-ssl	https://atmos.atomui.com/robots.txt		(from )
15:01:48	96505/96505	---M-Z	200	added ('OK')	text/html	etag:%2294b116d6058df8dc2a9bdae5ae65289b-ssl-df%22	https://atmos.atomui.com/light/	C:/Users/HP/Desktop/Temp/atmos.atomui.com/light/index.html	(from )
15:01:49	1402/1402	---M--	200	added ('OK')	image/png	etag:%227f91785eaff4d50f29eb51b6285ac6ca-ssl%22	https://atmos.atomui.com/light/assets/img/logo.png	C:/Users/HP/Desktop/Temp/atmos.atomui.com/light/assets/img/logo.png	(from https://atmos.atomui.com/light/)
15:01:50	250/250	---M-Z	200	added ('OK')	text/css	etag:cd76bbf2eb5643c9228d04f0c26820688301aae1-df	https://d33wubrfki0l68.cloudfront.net/css/478ccdc1892151837f9e7163badb055b8a1833a5/assets/vendor/pace/pace.css	C:/Users/HP/Desktop/Temp/d33wubrfki0l68.cloudfront.net/css/478ccdc1892151837f9e7163badb055b8a1833a5/assets/vendor/pace/pace.css	(from https://atmos.atomui.com/light/)
15:01:51	12346/12346	---MCZ	200	added ('OK')	application/javascript	etag:4e0fe768bcf001ad4e39e3e07c6a76e1b5f1abed-df	https://d33wubrfki0l68.cloudfront.net/js/3d1965f9e8e63c62b671967aafcad6603deec90c/assets/vendor/pace/pace.min.js	C:/Users/HP/Desktop/Temp/d33wubrfki0l68.cloudfront.net/js/3d1965f9e8e63c62b671967aafcad6603deec90c/assets/vendor/pace/pace.min.js	(from https://atmos.atomui.com/light/)
15:01:52	41214/41214	---M-Z	200	added ('OK')	text/css	etag:4f2e9182cc5dc9bd5fc53f0e1cb22324f1d7916d-df	https://d33wubrfki0l68.cloudfront.net/bundles/291bbeead57f19651f311362abe809b67adc3fb5.css	C:/Users/HP/Desktop/Temp/d33wubrfki0l68.cloudfront.net/bundles/291bbeead57f19651f311362abe809b67adc3fb5.css	(from https://atmos.atomui.com/light/)
15:01:53	55136/55136	---MCZ	200	added ('OK')	text/css	etag:07cc8ce897351548619ac8675ed94233107f282b-df	https://d33wubrfki0l68.cloudfront.net/bundles/dcd1663bd4b40ee5b03564aeb0245515dd3277b0.css	C:/Users/HP/Desktop/Temp/d33wubrfki0l68.cloudfront.net/bundles/dcd1663bd4b40ee5b03564aeb0245515dd3277b0.css	(from https://atmos.atomui.com/light/)
15:01:53	150298/150298	---MCZ	200	added ('OK')	text/css	etag:f80c48f6ee1ccb2dd5be1ac72af5067e992e68dc-df	https://d33wubrfki0l68.cloudfront.net/css/d9479893c1910021016c62f67bb4b273d80e150e/light/assets/fonts/materialdesignicons/materialdesignicons.min.css	C:/Users/HP/Desktop/Temp/d33wubrfki0l68.cloudfront.net/css/d9479893c1910021016c62f67bb4b273d80e150e/light/assets/fonts/materialdesignicons/materialdesignicons.min.css	(from https://atmos.atomui.com/light/)
15:01:54	10394/10394	---M-Z	200	added ('OK')	text/css	etag:b29374a78046c9578183313736f215ab75020266-df	https://d33wubrfki0l68.cloudfront.net/css/0940f25997c8e50e65e95510b30245d116f639f0/light/assets/fonts/feather/feather-icons.css	C:/Users/HP/Desktop/Temp/d33wubrfki0l68.cloudfront.net/css/0940f25997c8e50e65e95510b30245d116f639f0/light/assets/fonts/feather/feather-icons.css	(from https://atmos.atomui.com/light/)
15:01:55	1230545/1230545	---M--	200	added ('OK')	image/jpeg	etag:%22751fb10ee278ed3f93350eac459bc517%22	https://cdn.dribbble.com/users/180706/screenshots/5424805/the_sceens_-_mobile_perspective_mockup_3_-_by_tranmautritam.jpg	C:/Users/HP/Desktop/Temp/cdn.dribbble.com/users/180706/screenshots/5424805/the_sceens_-_mobile_perspective_mockup_3_-_by_tranmautritam.jpg	(from https://atmos.atomui.com/light/)
15:01:55	201267/201267	---MCZ	200	added ('OK')	text/css	etag:59e4fd3286c0201c714eb628652217c0ec08bd07-df	https://d33wubrfki0l68.cloudfront.net/css/16e33a95bb46f814f87079394f72ef62972bd197/light/assets/css/atmos.min.css	C:/Users/HP/Desktop/Temp/d33wubrfki0l68.cloudfront.net/css/16e33a95bb46f814f87079394f72ef62972bd197/light/assets/css/atmos.min.css	(from https://atmos.atomui.com/light/)
15:01:55	95347/95347	---M-Z	200	added ('OK')	text/html	etag:%224ce9ce75096e77d1dc5bbb33c3468e79-ssl-df%22	https://atmos.atomui.com/light/dashboard-02	C:/Users/HP/Desktop/Temp/atmos.atomui.com/light/dashboard-02.html	(from https://atmos.atomui.com/light/)
15:01:55	84578/84578	---M-Z	200	added ('OK')	text/html	etag:%2269c5eb6c91874c95635c99e7d8783b9a-ssl-df%22	https://atmos.atomui.com/light/dashboard-03	C:/Users/HP/Desktop/Temp/atmos.atomui.com/light/dashboard-03.html	(from https://atmos.atomui.com/light/)
15:01:55	86230/86230	---M-Z	200	added ('OK')	text/html	etag:%2211e58fa89f1793aea6e7db8e76537dd7-ssl-df%22	https://atmos.atomui.com/light/dashboard-04	C:/Users/HP/Desktop/Temp/atmos.atomui.com/light/dashboard-04.html	(from https://atmos.atomui.com/light/)
15:01:55	100784/100784	---M-Z	200	added ('OK')	text/html	etag:%22e23507b98259197579aadb33d9386fcc-ssl-df%22	https://atmos.atomui.com/light/forms	C:/Users/HP/Desktop/Temp/atmos.atomui.com/light/forms.html	(from https://atmos.atomui.com/light/)
15:01:56	109165/109165	---M-Z	200	added ('OK')	text/html	etag:%22cb276720b5407e27217a916a12ac0c1d-ssl-df%22	https://atmos.atomui.com/light/forms-custom	C:/Users/HP/Desktop/Temp/atmos.atomui.com/light/forms-custom.html	(from https://atmos.atomui.com/light/)
15:01:56	94245/94245	---M-Z	200	added ('OK')	text/html	etag:%22b3011a645a8d0dcbcbc234f49c9dbbe5-ssl-df%22	https://atmos.atomui.com/light/forms-advance	C:/Users/HP/Desktop/Temp/atmos.atomui.com/light/forms-advance.html	(from https://atmos.atomui.com/light/)
15:01:56	21322/21322	---M-Z	200	added ('OK')	text/html	etag:%22f99be07bdb89d55cb812ab89bd5aeeef-ssl-df%22	https://atmos.atomui.com/light/forms-wizard	C:/Users/HP/Desktop/Temp/atmos.atomui.com/light/forms-wizard.html	(from https://atmos.atomui.com/light/)
15:01:56	88109/88109	---M-Z	200	added ('OK')	text/html	etag:%22f2ede7d4ee8ee9a6759655916ad44579-ssl-df%22	https://atmos.atomui.com/light/alerts	C:/Users/HP/Desktop/Temp/atmos.atomui.com/light/alerts.html	(from https://atmos.atomui.com/light/)
