date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:17:44	51984/51984	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2013:18:37%20GMT	https://www.templatemonster.com/demo/63845.html	C:/Users/HP/Desktop/mektub%20demo/www.templatemonster.com/demo/63845.html	(from )
17:17:45	249/249	---MCZ	200	added ('OK')	text/plain	etag:W/%225bb756ba-248%22	https://www.templatemonster.com/robots.txt		(from )
17:17:48	550/550	---M--	200	added ('OK')	image/png	etag:%2259cea577-226%22	https://s.tmimgcdn.com/img/logo-touch/favicon-16x16.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/favicon-16x16623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:48	1483/1483	---M--	200	added ('OK')	image/png	etag:%2259cea577-5cb%22	https://s.tmimgcdn.com/img/logo-touch/favicon-32x32.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/favicon-32x32623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:49	7226/7226	---M--	200	added ('OK')	image/png	etag:%2259cea577-1c3a%22	https://s.tmimgcdn.com/img/logo-touch/favicon-96x96.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/favicon-96x96623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:49	1747/1747	---M--	200	added ('OK')	image/png	etag:%2259cea577-6d3%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-36.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/android-chrome-36623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:49	2793/2793	---M--	200	added ('OK')	image/png	etag:%2259cea577-ae9%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-48.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/android-chrome-48623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:50	4724/4724	---M--	200	added ('OK')	image/png	etag:%2259cea577-1274%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-72.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/android-chrome-72623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:50	7226/7226	---M--	200	added ('OK')	image/png	etag:%2259cea577-1c3a%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-96.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/android-chrome-96623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:50	12220/12220	---M--	200	added ('OK')	image/png	etag:%2259cea577-2fbc%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-144.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/android-chrome-144623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:51	19386/19386	---M--	200	added ('OK')	image/png	etag:%2259cea577-4bba%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-192.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/android-chrome-192623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:52	18379/18379	---M--	200	added ('OK')	image/png	etag:%2259cea577-47cb%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-precomposed.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-precomposed623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:52	17305/17305	---M--	200	added ('OK')	image/png	etag:%2259cea577-4399%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-180.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-180623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:53	13193/13193	---M--	200	added ('OK')	image/png	etag:%2259cea577-3389%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-152.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-152623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:54	12220/12220	---M--	200	added ('OK')	image/png	etag:%2259cea577-2fbc%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-144.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-144623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:54	9395/9395	---M--	200	added ('OK')	image/png	etag:%2259cea577-24b3%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-120.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-120623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:54	8875/8875	---M--	200	added ('OK')	image/png	etag:%2259cea577-22ab%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-114.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-114623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:55	5127/5127	---M--	200	added ('OK')	image/png	etag:%2259cea577-1407%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-76.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-76623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:55	4724/4724	---M--	200	added ('OK')	image/png	etag:%2259cea577-1274%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-72.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-72623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:55	3748/3748	---M--	200	added ('OK')	image/png	etag:%2259cea577-ea4%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-60.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-60623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:56	3518/3518	---M--	200	added ('OK')	image/png	etag:%2259cea577-dbe%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-57.png?d=900f612	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-57623c.png	(from https://www.templatemonster.com/demo/63845.html)
17:17:57	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2031%20Jan%202019%2013:18:50%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/HP/Desktop/mektub%20demo/www.googletagmanager.com/gtm.145445.delayed	(from https://www.templatemonster.com/demo/63845.html)
17:18:01	1107/1107	---MCZ	200	added ('OK')	text/css	etag:W/%225af021d5-453%22	https://s.tmimgcdn.com/css/owl.theme.min.css?d=1a63017	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/css/owl.theme.minfccd.css	(from https://www.templatemonster.com/demo/63845.html)
17:18:02	809/809	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22592d735d-329%22	https://s.tmimgcdn.com/js/tm/frontend/indclude-js.min.js?d=61e3506	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/js/tm/frontend/indclude-js.min9228.js	(from https://www.templatemonster.com/demo/63845.html)
17:18:02	1171192/1171192	---MCZ	200	added ('OK')	text/css	etag:W/%225be9337e-11def8%22	https://s.tmimgcdn.com/css/standalone/livedemo.css?d=1a63017	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/css/standalone/livedemofccd.css	(from https://www.templatemonster.com/demo/63845.html)
17:18:03	19860/19860	---M--	500	error ('Internal%20Server%20Error')	text/html	etag:%225c2f2258-4d94%22	https://www.templatemonster.com/demo/chat_presales=1;%20expires=03%20Jul%202036%2021:44:38%20GMT;%20domain=.templatemonster.com;%20path=/	C:/Users/HP/Desktop/mektub%20demo/www.templatemonster.com/demo/chat_presales=1;%20expires=03%20Jul%202036%2021_44_38%20GMT;%20domain=.templatemonster.com;%20path=/index.html	(from https://www.templatemonster.com/demo/63845.html)
17:18:03	19860/19860	---M--	500	error ('Internal%20Server%20Error')	text/html	etag:%225c2f2258-4d94%22	https://www.templatemonster.com/demo/callback_notice=closed;%20expires=03%20Jul%202036%2021:44:38%20GMT;%20domain=.templatemonster.com;%20path=/	C:/Users/HP/Desktop/mektub%20demo/www.templatemonster.com/demo/callback_notice=closed;%20expires=03%20Jul%202036%2021_44_38%20GMT;%20domain=.templatemonster.com;%20path=/index.html	(from https://www.templatemonster.com/demo/63845.html)
17:18:05	2394/2394	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2031%20Jan%202019%2013:18:57%20GMT	https://www.templatemonster.com/js/config.js	C:/Users/HP/Desktop/mektub%20demo/www.templatemonster.com/js/config.js	(from https://www.templatemonster.com/demo/63845.html)
17:18:06	773953/773953	---MCZ	200	added ('OK')	text/css	etag:W/%225922f216-bcf41%22	https://s.tmimgcdn.com/css/svg-icons.css?d=1a63017	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/css/svg-iconsfccd.css	(from https://www.templatemonster.com/demo/63845.html)
17:18:19	1056/1056	---MCZ	200	added ('OK')	text/css	etag:W/%225abb79fa-420%22	https://s.tmimgcdn.com/css/font.css	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/css/font.css	(from https://s.tmimgcdn.com/css/standalone/livedemo.css?d=1a63017)
17:18:21	48736/48736	---MCZ	200	added ('OK')	text/css	etag:W/%2257d7c1b5-be60%22	https://s.tmimgcdn.com/css/bootstrap.css	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/css/bootstrap.css	(from https://s.tmimgcdn.com/css/standalone/livedemo.css?d=1a63017)
17:18:23	3959/3959	---M--	200	added ('OK')	image/png	etag:%225a1d1e75-f77%22	https://s.tmimgcdn.com/img/segmentation-popup/pen.png	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/segmentation-popup/pen.png	(from https://s.tmimgcdn.com/css/standalone/livedemo.css?d=1a63017)
17:18:23	3279/3279	---M--	200	added ('OK')	image/png	etag:%225a1d1e75-ccf%22	https://s.tmimgcdn.com/img/segmentation-popup/bag.png	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/segmentation-popup/bag.png	(from https://s.tmimgcdn.com/css/standalone/livedemo.css?d=1a63017)
17:18:28	4366/4366	---M--	200	added ('OK')	image/png	etag:%225a1d1e75-110e%22	https://s.tmimgcdn.com/img/segmentation-popup/gear.png	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/segmentation-popup/gear.png	(from https://s.tmimgcdn.com/css/standalone/livedemo.css?d=1a63017)
17:18:28	2379605/2379605	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bfc2448-244f55%22	https://s.tmimgcdn.com/js/plasma-pocket-react/monsterBundle.js?d=61e3506	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/js/plasma-pocket-react/monsterBundle9228.js	(from https://www.templatemonster.com/demo/63845.html)
17:18:31	1867/1867	---M--	200	added ('OK')	image/png	etag:%225a1d1e75-74b%22	https://s.tmimgcdn.com/img/segmentation-popup/check.png	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/segmentation-popup/check.png	(from https://s.tmimgcdn.com/css/standalone/livedemo.css?d=1a63017)
17:18:32	5700/5700	---MCZ	200	added ('OK')	text/css	etag:W/%225af021d5-1644%22	https://s.tmimgcdn.com/css/owl.carousel.min.css?d=1a63017	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/css/owl.carousel.minfccd.css	(from https://www.templatemonster.com/demo/63845.html)
17:18:33	2608/2608	---M--	200	added ('OK')	image/gif	etag:%225458a905-a30%22	https://s.tmimgcdn.com/img/small-spinner.gif	C:/Users/HP/Desktop/mektub%20demo/s.tmimgcdn.com/img/small-spinner.gif	(from https://s.tmimgcdn.com/css/owl.theme.min.css?d=1a63017)
17:18:36	19860/19860	---M--	500	error ('Internal%20Server%20Error')	text/html	etag:%225c2f2258-4d94%22	https://www.templatemonster.com/demo/chat_presales=1;%20expires=03%20Jul%202036%2021:44:38%20GMT;%20domain=.templatemonster.com;%20path=/	C:/Users/HP/Desktop/mektub%20demo/www.templatemonster.com/demo/chat_presales=1;%20expires=03%20Jul%202036%2021_44_38%20GMT;%20domain=.templatemonster.com;%20path=/index.html	(from https://www.templatemonster.com/demo/63845.html)
